v, x, y
0.9879134299494261, -0.22999999999999998, -0.495
0.9881108499416419, -0.22499999999999998, -0.495
0.9882999740036683, -0.21999999999999997, -0.495
0.9884811918606042, -0.21499999999999997, -0.495
0.9886548653050373, -0.21000000000000002, -0.495
0.988821330543225, -0.20500000000000002, -0.495
0.9889809003053937, -0.2, -0.495
0.9891338657471589, -0.195, -0.495
0.989280498165584, -0.19, -0.495
0.9894210505504053, -0.185, -0.495
0.989555758988378, -0.18, -0.495
0.9896848439364905, -0.175, -0.495
0.9898085113778741, -0.16999999999999998, -0.495
0.9899269538725857, -0.16499999999999998, -0.495
0.9900403515140007, -0.15999999999999998, -0.495
0.9901488728003051, -0.15499999999999997, -0.495
0.9902526754294841, -0.14999999999999997, -0.495
0.9903519070252577, -0.14500000000000002, -0.495
0.9904467058005716, -0.14, -0.495
0.9905372011645343, -0.135, -0.495
0.9906235142780322, -0.13, -0.495
0.9907057585627053, -0.125, -0.495
0.9907840401674531, -0.12, -0.495
0.9908584583962097, -0.11499999999999999, -0.495
0.9909291061003259, -0.10999999999999999, -0.495
0.9909960700385599, -0.10499999999999998, -0.495
0.991059431207358, -0.09999999999999998, -0.495
0.9911192651438405, -0.09499999999999997, -0.495
0.9911756422036592, -0.08999999999999997, -0.495
0.9912286278156697, -0.08499999999999996, -0.495
0.9912782827151719, -0.08000000000000002, -0.495
0.9913246631572872, -0.07500000000000001, -0.495
0.9913678211118853, -0.07, -0.495
0.9914078044413313, -0.065, -0.495
0.9914446570621859, -0.06, -0.495
0.9914784190918831, -0.05499999999999999, -0.495
0.9915091269812891, -0.04999999999999999, -0.495
0.9915368136339631, -0.044999999999999984, -0.495
0.9915615085128306, -0.03999999999999998, -0.495
0.9915832377349181, -0.034999999999999976, -0.495
0.9916020241546973, -0.02999999999999997, -0.495
0.9916178874365374, -0.024999999999999967, -0.495
0.9916308441166773, -0.020000000000000018, -0.495
0.9916409076550808, -0.015000000000000013, -0.495
0.991648088477467, -0.010000000000000009, -0.495
0.9916523940077572, -0.0050000000000000044, -0.495
0.9916538286911221, 0.0, -0.495
0.9916523940077571, 0.0050000000000000044, -0.495
0.991648088477467, 0.010000000000000009, -0.495
0.9916409076550807, 0.015000000000000013, -0.495
0.9916308441166773, 0.020000000000000018, -0.495
0.9916178874365374, 0.025000000000000022, -0.495
0.9916020241546973, 0.030000000000000027, -0.495
0.991583237734918, 0.03500000000000003, -0.495
0.9915615085128305, 0.040000000000000036, -0.495
0.9915368136339627, 0.04500000000000004, -0.495
0.991509126981289, 0.050000000000000044, -0.495
0.9914784190918828, 0.05500000000000005, -0.495
0.9914446570621859, 0.06000000000000005, -0.495
0.9914078044413311, 0.06500000000000006, -0.495
0.9913678211118853, 0.07000000000000006, -0.495
0.9913246631572871, 0.07500000000000007, -0.495
0.9912782827151719, 0.07999999999999996, -0.495
0.9912286278156697, 0.08499999999999996, -0.495
0.9911756422036592, 0.08999999999999997, -0.495
0.9911192651438405, 0.09499999999999997, -0.495
0.991059431207358, 0.09999999999999998, -0.495
0.99099607003856, 0.10499999999999998, -0.495
0.990929106100326, 0.10999999999999999, -0.495
0.9908584583962097, 0.11499999999999999, -0.495
0.9907840401674531, 0.12, -0.495
0.9907057585627053, 0.125, -0.495
0.9906235142780322, 0.13, -0.495
0.9905372011645341, 0.135, -0.495
0.9904467058005714, 0.14, -0.495
0.9903519070252573, 0.14500000000000002, -0.495
0.990252675429484, 0.15000000000000002, -0.495
0.990148872800305, 0.15500000000000003, -0.495
0.9900403515140007, 0.16000000000000003, -0.495
0.9899269538725856, 0.16500000000000004, -0.495
0.989808511377874, 0.17000000000000004, -0.495
0.9896848439364905, 0.17500000000000004, -0.495
0.989555758988378, 0.18000000000000005, -0.495
0.9894210505504054, 0.18500000000000005, -0.495
0.9892804981655842, 0.19000000000000006, -0.495
0.9891338657471589, 0.19500000000000006, -0.495
0.9889809003053938, 0.20000000000000007, -0.495
0.988821330543225, 0.20499999999999996, -0.495
0.9886548653050372, 0.20999999999999996, -0.495
0.9884811918606042, 0.21499999999999997, -0.495
0.9882999740036682, 0.21999999999999997, -0.495
0.9881108499416418, 0.22499999999999998, -0.495
0.987913429949426, 0.22999999999999998, -0.495
0.9877072937562628, 0.235, -0.495
0.9874919876297499, 0.24, -0.495
0.9872670211155203, 0.245, -0.495
0.9870318633844415, 0.25, -0.495
0.9867859391313316, 0.255, -0.495
0.9865286239598466, 0.26, -0.495
0.9862592391770721, 0.265, -0.495
0.9859770459080539, 0.27, -0.495
0.9856812384245323, 0.275, -0.495
0.9853709365629293, 0.28, -0.495
0.9850451770833828, 0.28500000000000003, -0.495
0.9847029037933903, 0.29000000000000004, -0.495
0.9843429562252032, 0.29500000000000004, -0.495
0.9839640566139315, 0.30000000000000004, -0.495
0.9835647948714208, 0.30500000000000005, -0.495
0.9831436111867617, 0.31000000000000005, -0.495
0.9826987758044825, 0.31500000000000006, -0.495
0.9822283654317113, 0.32000000000000006, -0.495
0.9817302356001818, 0.32500000000000007, -0.495
0.9812019881503453, 0.33000000000000007, -0.495
0.9806409328029908, 0.33499999999999996, -0.495
0.9800440415251477, 0.33999999999999997, -0.495
0.9794078940633372, 0.345, -0.495
0.9787286125834406, 0.35, -0.495
0.9780017827880387, 0.355, -0.495
0.9772223581310058, 0.36, -0.495
0.9763845427477493, 0.365, -0.495
0.9754816473715612, 0.37, -0.495
0.9745059106734892, 0.375, -0.495
0.9734482759429182, 0.38, -0.495
0.9722981095200259, 0.385, -0.495
0.9710428424516307, 0.39, -0.495
0.9696675097864201, 0.395, -0.495
0.9681541516970816, 0.4, -0.495
0.9664810255470567, 0.405, -0.495
0.9646215554220353, 0.41000000000000003, -0.495
0.9625429110991827, 0.41500000000000004, -0.495
0.9602040544754536, 0.42000000000000004, -0.495
0.9575530052134571, 0.42500000000000004, -0.495
0.9545229357779319, 0.43000000000000005, -0.495
0.9510264667380649, 0.43500000000000005, -0.495
0.9469471152034682, 0.44000000000000006, -0.495
0.9421260912801498, 0.44500000000000006, -0.495
0.9363412031459879, 0.45000000000000007, -0.495
0.9292717815104965, 0.45500000000000007, -0.495
0.9204375449586528, 0.45999999999999996, -0.495
0.9090859041452286, 0.46499999999999997, -0.495
0.8939698397722045, 0.47, -0.495
0.872873887815573, 0.475, -0.495
0.8415045986876298, 0.48, -0.495
0.7906108601123597, 0.485, -0.495
0.697652715028085, 0.49, -0.495
0.4999999999999961, 0.495, -0.495
0.0, 0.5, -0.495
0.0, -0.5, -0.49
0.3023472849718994, -0.495, -0.49
0.4999999999999844, -0.49, -0.49
0.623286126733724, -0.485, -0.49
0.7025336468225869, -0.48, -0.49
0.7560211128024578, -0.475, -0.49
0.7939195671280165, -0.47, -0.49
0.8219362318500574, -0.46499999999999997, -0.49
0.8433924941788864, -0.46, -0.49
0.8603083779373456, -0.455, -0.49
0.8739669397933058, -0.45, -0.49
0.8852160467711433, -0.445, -0.49
0.8946359027956585, -0.44, -0.49
0.9026358159708596, -0.435, -0.49
0.9095122711602059, -0.43, -0.49
0.9154850306004432, -0.425, -0.49
0.9207203015891747, -0.42, -0.49
0.925346034499242, -0.415, -0.49
0.9294622850419015, -0.41000000000000003, -0.49
0.9331483950691101, -0.405, -0.49
0.9364680714548497, -0.4, -0.49
0.939473044996968, -0.395, -0.49
0.942205750500077, -0.39, -0.49
0.9447013196855548, -0.385, -0.49
0.9469890835781576, -0.38, -0.49
0.9490937193794782, -0.375, -0.49
0.9510361360650065, -0.37, -0.49
0.9528341654884308, -0.365, -0.49
0.9545031069882355, -0.36, -0.49
0.9560561604377088, -0.355, -0.49
0.9575047734823865, -0.35, -0.49
0.958858922144761, -0.345, -0.49
0.9601273392342629, -0.33999999999999997, -0.49
0.9613177015364704, -0.33499999999999996, -0.49
0.9624367841982086, -0.32999999999999996, -0.49
0.9634905888186708, -0.32499999999999996, -0.49
0.964484450322181, -0.32, -0.49
0.9654231265994573, -0.315, -0.49
0.9663108740711439, -0.31, -0.49
0.9671515116849901, -0.305, -0.49
0.9679484753591019, -0.3, -0.49
0.968704864493491, -0.295, -0.49
0.9694234818649754, -0.29000000000000004, -0.49
0.9701068679772116, -0.28500000000000003, -0.49
0.9707573307438024, -0.28, -0.49
0.9713769712271456, -0.275, -0.49
0.9719677060306109, -0.27, -0.49
0.9725312868403879, -0.265, -0.49
0.9730693175309824, -0.26, -0.49
0.9735832691810389, -0.255, -0.49
0.9740744932909143, -0.25, -0.49
0.9745442334478897, -0.245, -0.49
0.9749936356472167, -0.24, -0.49
0.9754237574458754, -0.235, -0.49
0.9758355760997997, -0.22999999999999998, -0.49
0.976229995813473, -0.22499999999999998, -0.49
0.9766078542124271, -0.21999999999999997, -0.49
0.9769699281337114, -0.21499999999999997, -0.49
0.9773169388163199, -0.21000000000000002, -0.49
0.9776495565624691, -0.20500000000000002, -0.49
0.9779684049311911, -0.2, -0.49
0.9782740645176579, -0.195, -0.49
0.9785670763647724, -0.19, -0.49
0.9788479450476593, -0.185, -0.49
0.9791171414666164, -0.18, -0.49
0.97937510537971, -0.175, -0.49
0.9796222477024202, -0.16999999999999998, -0.49
0.979858952598468, -0.16499999999999998, -0.49
0.9800855793831125, -0.15999999999999998, -0.49
0.9803024642577356, -0.15499999999999997, -0.49
0.9805099218923743, -0.14999999999999997, -0.49
0.9807082468709746, -0.14500000000000002, -0.49
0.9808977150124946, -0.14, -0.49
0.9810785845795331, -0.135, -0.49
0.9812510973848896, -0.13, -0.49
0.9814154798053358, -0.125, -0.49
0.9815719437108981, -0.12, -0.49
0.9817206873170596, -0.11499999999999999, -0.49
0.9818618959665344, -0.10999999999999999, -0.49
0.9819957428465562, -0.10499999999999998, -0.49
0.9821223896470317, -0.09999999999999998, -0.49
0.9822419871643453, -0.09499999999999997, -0.49
0.9823546758551265, -0.08999999999999997, -0.49
0.9824605863438477, -0.08499999999999996, -0.49
0.9825598398877311, -0.08000000000000002, -0.49
0.9826525488020914, -0.07500000000000001, -0.49
0.9827388168489231, -0.07, -0.49
0.9828187395912535, -0.065, -0.49
0.9828924047155299, -0.06, -0.49
0.982959892324057, -0.05499999999999999, -0.49
0.9830212751993108, -0.04999999999999999, -0.49
0.983076619041732, -0.044999999999999984, -0.49
0.9831259826824419, -0.03999999999999998, -0.49
0.9831694182721444, -0.034999999999999976, -0.49
0.9832069714473342, -0.02999999999999997, -0.49
0.9832386814747751, -0.024999999999999967, -0.49
0.9832645813750915, -0.020000000000000018, -0.49
0.9832846980261792, -0.015000000000000013, -0.49
0.98329905224703, -0.010000000000000009, -0.49
0.98330765886244, -0.0050000000000000044, -0.49
0.9833105267489739, 0.0, -0.49
0.9833076588624399, 0.0050000000000000044, -0.49
0.9832990522470297, 0.010000000000000009, -0.49
0.9832846980261791, 0.015000000000000013, -0.49
0.9832645813750912, 0.020000000000000018, -0.49
0.9832386814747752, 0.025000000000000022, -0.49
0.9832069714473342, 0.030000000000000027, -0.49
0.9831694182721443, 0.03500000000000003, -0.49
0.9831259826824416, 0.040000000000000036, -0.49
0.9830766190417317, 0.04500000000000004, -0.49
0.9830212751993106, 0.050000000000000044, -0.49
0.9829598923240568, 0.05500000000000005, -0.49
0.9828924047155296, 0.06000000000000005, -0.49
0.9828187395912537, 0.06500000000000006, -0.49
0.9827388168489228, 0.07000000000000006, -0.49
0.9826525488020914, 0.07500000000000007, -0.49
0.982559839887731, 0.07999999999999996, -0.49
0.9824605863438477, 0.08499999999999996, -0.49
0.9823546758551265, 0.08999999999999997, -0.49
0.9822419871643452, 0.09499999999999997, -0.49
0.9821223896470316, 0.09999999999999998, -0.49
0.9819957428465561, 0.10499999999999998, -0.49
0.9818618959665344, 0.10999999999999999, -0.49
0.9817206873170596, 0.11499999999999999, -0.49
0.9815719437108978, 0.12, -0.49
0.9814154798053358, 0.125, -0.49
0.9812510973848894, 0.13, -0.49
0.9810785845795331, 0.135, -0.49
0.9808977150124943, 0.14, -0.49
0.9807082468709744, 0.14500000000000002, -0.49
0.9805099218923742, 0.15000000000000002, -0.49
0.9803024642577355, 0.15500000000000003, -0.49
0.9800855793831124, 0.16000000000000003, -0.49
0.9798589525984679, 0.16500000000000004, -0.49
0.9796222477024201, 0.17000000000000004, -0.49
0.97937510537971, 0.17500000000000004, -0.49
0.9791171414666163, 0.18000000000000005, -0.49
0.9788479450476592, 0.18500000000000005, -0.49
0.9785670763647724, 0.19000000000000006, -0.49
0.9782740645176579, 0.19500000000000006, -0.49
0.9779684049311911, 0.20000000000000007, -0.49
0.9776495565624691, 0.20499999999999996, -0.49
0.97731693881632, 0.20999999999999996, -0.49
0.9769699281337114, 0.21499999999999997, -0.49
0.976607854212427, 0.21999999999999997, -0.49
0.976229995813473, 0.22499999999999998, -0.49
0.9758355760997995, 0.22999999999999998, -0.49
0.9754237574458752, 0.235, -0.49
0.9749936356472167, 0.24, -0.49
0.9745442334478897, 0.245, -0.49
0.9740744932909143, 0.25, -0.49
0.973583269181039, 0.255, -0.49
0.9730693175309825, 0.26, -0.49
0.9725312868403881, 0.265, -0.49
0.9719677060306111, 0.27, -0.49
0.9713769712271457, 0.275, -0.49
0.9707573307438025, 0.28, -0.49
0.9701068679772117, 0.28500000000000003, -0.49
0.9694234818649755, 0.29000000000000004, -0.49
0.968704864493491, 0.29500000000000004, -0.49
0.9679484753591019, 0.30000000000000004, -0.49
0.96715151168499, 0.30500000000000005, -0.49
0.9663108740711439, 0.31000000000000005, -0.49
0.9654231265994572, 0.31500000000000006, -0.49
0.9644844503221809, 0.32000000000000006, -0.49
0.9634905888186708, 0.32500000000000007, -0.49
0.9624367841982084, 0.33000000000000007, -0.49
0.9613177015364703, 0.33499999999999996, -0.49
0.9601273392342627, 0.33999999999999997, -0.49
0.9588589221447609, 0.345, -0.49
0.9575047734823863, 0.35, -0.49
0.9560561604377086, 0.355, -0.49
0.9545031069882353, 0.36, -0.49
0.9528341654884305, 0.365, -0.49
0.9510361360650061, 0.37, -0.49
0.949093719379478, 0.375, -0.49
0.9469890835781576, 0.38, -0.49
0.9447013196855548, 0.385, -0.49
0.9422057505000772, 0.39, -0.49
0.9394730449969682, 0.395, -0.49
0.9364680714548497, 0.4, -0.49
0.9331483950691101, 0.405, -0.49
0.9294622850419015, 0.41000000000000003, -0.49
0.925346034499242, 0.41500000000000004, -0.49
0.9207203015891747, 0.42000000000000004, -0.49
0.9154850306004431, 0.42500000000000004, -0.49
0.9095122711602058, 0.43000000000000005, -0.49
0.9026358159708595, 0.43500000000000005, -0.49
0.8946359027956584, 0.44000000000000006, -0.49
0.8852160467711432, 0.44500000000000006, -0.49
0.8739669397933056, 0.45000000000000007, -0.49
0.8603083779373455, 0.45500000000000007, -0.49
0.8433924941788862, 0.45999999999999996, -0.49
0.8219362318500574, 0.46499999999999997, -0.49
0.7939195671280166, 0.47, -0.49
0.7560211128024577, 0.475, -0.49
0.7025336468225869, 0.48, -0.49
0.623286126733724, 0.485, -0.49
0.4999999999999844, 0.49, -0.49
0.30234728497189933, 0.495, -0.49
0.0, 0.5, -0.49
0.0, -0.5, -0.485
0.20938913988761693, -0.495, -0.485
0.3767138732662293, -0.49, -0.485
0.49999999999996503, -0.485, -0.485
0.5893227490665361, -0.48, -0.485
0.6547573494436546, -0.475, -0.485
0.7037510840873465, -0.47, -0.485
0.741346961948098, -0.46499999999999997, -0.485
0.7708878219694896, -0.46, -0.485
0.7946022962666938, -0.455, -0.485
0.8140021313187459, -0.45, -0.485
