v, x, y
0.799575605621447, -0.15999999999999998, -0.4975
0.7995873022931703, -0.15749999999999997, -0.4975
0.7995978302933187, -0.15499999999999997, -0.4975
0.7996072079276648, -0.15249999999999997, -0.4975
0.7996154536732527, -0.14999999999999997, -0.4975
0.7996225861690076, -0.14750000000000002, -0.4975
0.7996286242036212, -0.14500000000000002, -0.4975
0.7996335867044349, -0.14250000000000002, -0.4975
0.7996374927237472, -0.14, -0.4975
0.799640361426293, -0.1375, -0.4975
0.7996422120742918, -0.135, -0.4975
0.7996430640138393, -0.1325, -0.4975
0.7996429366590075, -0.13, -0.4975
0.7996418494774523, -0.1275, -0.4975
0.7996398219738624, -0.125, -0.4975
0.7996368736750732, -0.1225, -0.4975
0.799633024113145, -0.12, -0.4975
0.7996282928102529, -0.1175, -0.4975
0.7996226992616572, -0.11499999999999999, -0.4975
0.799616262920618, -0.11249999999999999, -0.4975
0.7996090031814971, -0.10999999999999999, -0.4975
0.7996009393649248, -0.10749999999999998, -0.4975
0.799592090701247, -0.10499999999999998, -0.4975
0.7995824763161472, -0.10249999999999998, -0.4975
0.799572115214628, -0.09999999999999998, -0.4975
0.7995610262672632, -0.09749999999999998, -0.4975
0.7995492281948788, -0.09499999999999997, -0.4975
0.7995367395555842, -0.09249999999999997, -0.4975
0.7995235787302877, -0.08999999999999997, -0.4975
0.7995097639106323, -0.08749999999999997, -0.4975
0.7994953130854565, -0.08499999999999996, -0.4975
0.7994802440297307, -0.08250000000000002, -0.4975
0.7994645742920481, -0.08000000000000002, -0.4975
0.799448321184636, -0.07750000000000001, -0.4975
0.7994315017719382, -0.07500000000000001, -0.4975
0.7994141328617483, -0.07250000000000001, -0.4975
0.7993962309949232, -0.07, -0.4975
0.799377812437666, -0.0675, -0.4975
0.7993588931723882, -0.065, -0.4975
0.7993394888911497, -0.0625, -0.4975
0.7993196149876672, -0.06, -0.4975
0.7992992865519023, -0.057499999999999996, -0.4975
0.7992785183631985, -0.05499999999999999, -0.4975
0.7992573248859902, -0.05249999999999999, -0.4975
0.799235720264037, -0.04999999999999999, -0.4975
0.7992137183172126, -0.04749999999999999, -0.4975
0.7991913325367926, -0.044999999999999984, -0.4975
0.7991685760832736, -0.04249999999999998, -0.4975
0.7991454617826574, -0.03999999999999998, -0.4975
0.7991220021252416, -0.03749999999999998, -0.4975
0.7990982092628369, -0.034999999999999976, -0.4975
0.7990740950084618, -0.03249999999999997, -0.4975
0.7990496708344244, -0.02999999999999997, -0.4975
0.799024947872848, -0.02749999999999997, -0.4975
0.7989999369145446, -0.024999999999999967, -0.4975
0.7989746484102951, -0.022499999999999964, -0.4975
0.7989490924704368, -0.020000000000000018, -0.4975
0.7989232788668212, -0.017500000000000016, -0.4975
0.798897217033039, -0.015000000000000013, -0.4975
0.7988709160669755, -0.012500000000000011, -0.4975
0.7988443847315934, -0.010000000000000009, -0.4975
0.7988176314580107, -0.007500000000000007, -0.4975
0.7987906643467635, -0.0050000000000000044, -0.4975
0.7987634911713285, -0.0025000000000000022, -0.4975
0.7987361193797913, 0.0, -0.4975
0.7987085560987397, 0.0025000000000000577, -0.4975
0.7986808081352652, 0.0050000000000000044, -0.4975
0.7986528819811541, 0.007500000000000062, -0.4975
0.7986247838151542, 0.010000000000000009, -0.4975
0.7985965195073959, 0.012499999999999956, -0.4975
0.7985680946218567, 0.015000000000000013, -0.4975
0.7985395144209508, 0.01749999999999996, -0.4975
0.7985107838681282, 0.020000000000000018, -0.4975
0.7984819076325701, 0.022499999999999964, -0.4975
0.7984528900918686, 0.025000000000000022, -0.4975
0.7984237353367714, 0.02749999999999997, -0.4975
0.798394447173886, 0.030000000000000027, -0.4975
0.7983650291304236, 0.03249999999999997, -0.4975
0.7983354844568785, 0.03500000000000003, -0.4975
0.7983058161317211, 0.03749999999999998, -0.4975
0.798276026864009, 0.040000000000000036, -0.4975
0.7982461190979857, 0.04249999999999998, -0.4975
0.7982160950155791, 0.04500000000000004, -0.4975
0.7981859565408667, 0.04749999999999999, -0.4975
0.7981557053424249, 0.050000000000000044, -0.4975
0.7981253428376216, 0.05249999999999999, -0.4975
0.7980948701947824, 0.05500000000000005, -0.4975
0.7980642883372772, 0.057499999999999996, -0.4975
0.7980335979454709, 0.06000000000000005, -0.4975
0.7980027994605736, 0.0625, -0.4975
0.7979718930863465, 0.06500000000000006, -0.4975
0.7979408787926876, 0.0675, -0.4975
